PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
178,103197332,2663,CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
179,103197484,2585,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,Active,,,,9.6914,AC50,=,9691.4,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
180,103197847,44115,C1=CC(=CC=C1C(=NCCCC(=O)N)C2=C(C=CC(=C2)F)O)Cl,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
181,103197958,2880,C=C(C1=CC=CC=C1OCC2=CC(=CC=C2)Cl)N3C=CN=C3,Active,,,,2.2,AC50,=,2200,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
182,103198688,47528,C1=CC(=CN=C1)C(=O)NCCO[N+](=O)[O-],Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
183,103198971,4031,CCN(CCCCOC(=O)C1=CC(=C(C=C1)OC)OC)C(C)CC2=CC=C(C=C2)OC,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
184,103199552,5070,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
185,103200142,3949,COC1=C(C(=C(C=C1)CN2CCN(CC2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)OC)OC,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
186,103200464,5734,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
187,103201243,72172,CC(C)C[C@@H](C(=O)O)NC(=O)[C@H]([C@@H](CC1=CC=CC=C1)N)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
188,103201463,6083,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
189,103203672,59768,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
190,103204244,5770,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
191,103205141,110635,CN1CC(=O)N2[C@@H](C1=O)CC3=C([C@H]2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,Active,,,,1.03,AC50,=,1030,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
192,103205944,5361092,C1CC[C@]2([C@H]3CC4=C([C@]2(C1)CCN3CC5CCC5)C=C(C=C4)O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
193,103206445,4020,C1CN2C(=N1)C3=CC=CC=C3C2(C4=CC=C(C=C4)Cl)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
194,103208670,9552079,C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)\N)N)N)/N)Cl,Active,,,,3.7,AC50,=,3700,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
195,103209579,3261,C1C2=NN=CN2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
196,103209599,6839,CN1C(=O)CC(C1=O)C2=CC=CC=C2,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
197,103210094,2754,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
198,103210597,107771,COC1=NC2=C(C3=C(C=C(C=C3)Cl)N=C2C=C1)NC4=CC(=C(C(=C4)CN5CCCC5)O)CN6CCCC6,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
199,103210632,4201,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
200,103210646,156391,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
201,103210741,4046,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
202,103210741,4046,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
203,103210741,4046,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,Unspecified,,,,24.4,AC50,=,24400,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
